"","site.pop","rep","ind","branch","pop","site","site.rep","label_branch","individual","Wood_density_WW","Wood_density_DW","Branch_diameter_mm","notes","WD","cwd","ind.id"
"28","H22","5","c","","22","H","H.5","H22_5_c",2,10.88,8.4,NA,"",0.772058823529412,993.3000148,"H22_5_c"
"29","H15","3","c","","15","H","H.3","H15_3_c",1,8.85,6.62,NA,"",0.748022598870057,733.8575109,"H15_3_c"
"30","H15","3","c","","15","H","H.3","H15_3_c",2,11.12,8.36,NA,"",0.751798561151079,733.8575109,"H15_3_c"
"31","H15","2","b","","15","H","H.2","H15_2_b",1,13.01,9.61,NA,"",0.738662567255957,733.8575109,"H15_2_b"
"32","H15","2","b","","15","H","H.2","H15_2_b",2,9.08,7.08,NA,"",0.779735682819383,733.8575109,"H15_2_b"
"33","H15","2","b","","15","H","H.2","H15_2_b",3,11.65,8.9,20.37,"",0.763948497854077,733.8575109,"H15_2_b"
"34","H15","3","c","","15","H","H.3","H15_3_c",1,7.49,5.47,NA,"",0.730307076101469,733.8575109,"H15_3_c"
"35","H15","3","c","","15","H","H.3","H15_3_c",2,16.58,12.59,NA,"",0.75934861278649,733.8575109,"H15_3_c"
"36","H15","3","c","","15","H","H.3","H15_3_c",3,8.17,6.53,17.98333333,"",0.799265605875153,733.8575109,"H15_3_c"
"37","H26","3","c","","26","H","H.3","H26_3_c",1,13.43,9.69,NA,"",0.721518987341772,985.8075147,"H26_3_c"
"38","H26","3","c","","26","H","H.3","H26_3_c",2,13.83,10.2,NA,"",0.737527114967462,985.8075147,"H26_3_c"
"39","H16","5","b","","16","H","H.5","H16_5_b",1,10.42,7.58,NA,"",0.727447216890595,783.2500117,"H16_5_b"
"40","H16","3","b","","16","H","H.3","H16_3_c",2,4.48,3.64,NA,"",0.8125,783.2500117,"H16_3_b"
